2025-07-18 00:09:35.631 [http-nio-8080-exec-1] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标类：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl
2025-07-18 00:09:35.631 [http-nio-8080-exec-1] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法：deleteById
2025-07-18 00:09:35.631 [http-nio-8080-exec-1] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法参数：null
2025-07-18 00:09:35.635 [http-nio-8080-exec-1] INFO  com.kei.tliaswebmanagement1.aop.OperateLogAspect-operateLog:OperateLog{id=null, operateEmpId=null, operateTime=2025-07-18T00:09:35.635177900, className='com.kei.tliaswebmanagement1.controller.DeptController', methodName='deleteById', methodParams='[Ljava.lang.Object;@46999f27', returnValue='Result(code=1, msg=success, data=null)', costTime=3}
2025-07-18 00:09:35.718 [http-nio-8080-exec-2] INFO  c.k.tliaswebmanagement1.controller.DeptController-查询全部乐队数据
2025-07-18 00:09:35.718 [http-nio-8080-exec-2] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-before
2025-07-18 00:09:35.718 [http-nio-8080-exec-2] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标对象：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl@7aa79607
2025-07-18 00:09:35.718 [http-nio-8080-exec-2] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标类：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl
2025-07-18 00:09:35.718 [http-nio-8080-exec-2] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法：findAll
2025-07-18 00:09:35.718 [http-nio-8080-exec-2] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法参数：{}
2025-07-18 00:10:29.081 [http-nio-8080-exec-5] INFO  c.k.tliaswebmanagement1.controller.DeptController-查询全部乐队数据
2025-07-18 00:10:29.081 [http-nio-8080-exec-5] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-before
2025-07-18 00:10:29.081 [http-nio-8080-exec-5] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标对象：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl@7aa79607
2025-07-18 00:10:29.081 [http-nio-8080-exec-5] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标类：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl
2025-07-18 00:10:29.081 [http-nio-8080-exec-5] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法：findAll
2025-07-18 00:10:29.081 [http-nio-8080-exec-5] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法参数：{}
2025-07-18 00:11:12.254 [http-nio-8080-exec-4] INFO  c.k.tliaswebmanagement1.controller.DeptController-查询全部乐队数据
2025-07-18 00:11:12.254 [http-nio-8080-exec-4] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-before
2025-07-18 00:11:12.254 [http-nio-8080-exec-4] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标对象：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl@7aa79607
2025-07-18 00:11:12.254 [http-nio-8080-exec-4] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标类：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl
2025-07-18 00:11:12.254 [http-nio-8080-exec-4] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法：findAll
2025-07-18 00:11:12.254 [http-nio-8080-exec-4] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法参数：{}
2025-07-18 00:11:17.227 [http-nio-8080-exec-3] INFO  c.k.tliaswebmanagement1.controller.DeptController-查询全部乐队数据
2025-07-18 00:11:17.228 [http-nio-8080-exec-3] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-before
2025-07-18 00:11:17.228 [http-nio-8080-exec-3] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标对象：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl@7aa79607
2025-07-18 00:11:17.228 [http-nio-8080-exec-3] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标类：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl
2025-07-18 00:11:17.228 [http-nio-8080-exec-3] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法：findAll
2025-07-18 00:11:17.228 [http-nio-8080-exec-3] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法参数：{}
2025-07-18 00:11:33.424 [http-nio-8080-exec-6] INFO  c.k.tliaswebmanagement1.controller.DeptController-根据id删除乐队数据：null
2025-07-18 00:11:33.424 [http-nio-8080-exec-6] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-before
2025-07-18 00:11:33.424 [http-nio-8080-exec-6] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标对象：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl@7aa79607
2025-07-18 00:11:33.424 [http-nio-8080-exec-6] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标类：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl
2025-07-18 00:11:33.424 [http-nio-8080-exec-6] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法：deleteById
2025-07-18 00:11:33.424 [http-nio-8080-exec-6] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法参数：null
2025-07-18 00:11:33.427 [http-nio-8080-exec-6] INFO  com.kei.tliaswebmanagement1.aop.OperateLogAspect-operateLog:OperateLog{id=null, operateEmpId=null, operateTime=2025-07-18T00:11:33.427846400, className='com.kei.tliaswebmanagement1.controller.DeptController', methodName='deleteById', methodParams='[Ljava.lang.Object;@21242c56', returnValue='Result(code=1, msg=success, data=null)', costTime=3}
2025-07-18 00:11:33.507 [http-nio-8080-exec-7] INFO  c.k.tliaswebmanagement1.controller.DeptController-查询全部乐队数据
2025-07-18 00:11:33.507 [http-nio-8080-exec-7] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-before
2025-07-18 00:11:33.507 [http-nio-8080-exec-7] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标对象：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl@7aa79607
2025-07-18 00:11:33.507 [http-nio-8080-exec-7] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标类：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl
2025-07-18 00:11:33.507 [http-nio-8080-exec-7] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法：findAll
2025-07-18 00:11:33.507 [http-nio-8080-exec-7] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法参数：{}
2025-07-18 00:13:51.477 [http-nio-8080-exec-10] INFO  c.k.tliaswebmanagement1.controller.DeptController-查询全部乐队数据
2025-07-18 00:13:51.477 [http-nio-8080-exec-10] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-before
2025-07-18 00:13:51.477 [http-nio-8080-exec-10] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标对象：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl@7aa79607
2025-07-18 00:13:51.477 [http-nio-8080-exec-10] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标类：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl
2025-07-18 00:13:51.477 [http-nio-8080-exec-10] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法：findAll
2025-07-18 00:13:51.477 [http-nio-8080-exec-10] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法参数：{}
2025-07-18 00:13:54.669 [http-nio-8080-exec-8] INFO  c.k.tliaswebmanagement1.controller.DeptController-根据id删除乐队数据：null
2025-07-18 00:13:54.669 [http-nio-8080-exec-8] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-before
2025-07-18 00:13:54.669 [http-nio-8080-exec-8] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标对象：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl@7aa79607
2025-07-18 00:13:54.670 [http-nio-8080-exec-8] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标类：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl
2025-07-18 00:13:54.670 [http-nio-8080-exec-8] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法：deleteById
2025-07-18 00:13:54.670 [http-nio-8080-exec-8] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法参数：null
